Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Atlanta Hawks,54,13060,41.7,90.6,.461,12.2,34.9,.348,29.5,55.7,.531,17.9,22.1,.810,10.5,33.1,43.6,24.7,7.6,5.3,12.8,20.4,113.4
2,Boston Celtics,54,13035,40.2,87.0,.463,13.0,35.1,.371,27.2,51.8,.525,18.7,24.0,.778,9.8,33.2,42.9,23.9,7.3,4.7,14.5,19.6,112.2
3,Brooklyn Nets,53,12845,42.0,90.7,.463,12.9,35.3,.367,29.1,55.4,.525,16.9,21.8,.775,10.1,32.1,42.2,24.5,7.7,4.5,12.6,18.8,113.9
4,Charlotte Hornets,52,12530,41.5,88.9,.467,14.9,40.7,.366,26.6,48.3,.551,14.3,19.3,.742,10.6,34.6,45.1,27.7,8.3,4.8,15.1,18.7,112.2
5,Chicago Bulls,52,12580,41.8,87.8,.476,11.2,32.0,.351,30.6,55.8,.548,17.8,22.8,.781,8.7,32.8,41.5,23.7,8.4,5.1,12.9,18.1,112.7
6,Cleveland Cavaliers,53,12845,42.0,87.4,.480,12.5,32.5,.384,29.5,54.8,.538,16.6,21.4,.776,10.2,34.4,44.6,24.9,8.6,6.0,15.6,20.3,113.1
7,Dallas Mavericks,52,12505,40.9,89.9,.454,13.5,37.2,.362,27.4,52.7,.520,17.1,22.5,.761,10.3,35.4,45.7,22.7,7.4,3.8,12.8,20.7,112.3
8,Denver Nuggets,53,12870,41.1,87.8,.468,13.0,36.1,.359,28.1,51.7,.544,17.2,22.1,.778,9.7,32.4,42.2,26.8,7.4,4.5,14.2,19.6,112.4
9,Detroit Pistons,54,13110,41.9,87.3,.480,11.9,31.7,.377,30.0,55.6,.539,17.2,22.6,.761,9.9,34.8,44.7,25.2,7.7,6.0,14.7,20.9,113.0
10,Golden State Warriors,53,12745,39.4,86.4,.456,12.4,33.6,.369,27.0,52.8,.512,19.8,25.4,.781,10.3,36.3,46.7,23.6,7.4,4.5,15.0,19.5,111.0
11,Houston Rockets,53,12745,41.0,87.2,.471,12.8,34.1,.376,28.2,53.1,.531,18.0,23.0,.781,9.9,37.4,47.3,24.5,8.1,5.3,14.8,19.6,112.9
12,Indiana Pacers,52,12630,41.4,88.1,.470,11.4,30.5,.374,30.0,57.6,.521,17.7,22.7,.781,10.6,34.3,44.9,25.5,7.3,5.2,15.0,18.1,112.0
13,Los Angeles Clippers,55,13200,41.5,88.9,.467,11.8,32.6,.362,29.7,56.3,.528,16.8,21.4,.785,9.2,33.0,42.2,23.7,7.2,4.0,13.4,18.5,111.7
14,Los Angeles Lakers,53,12845,39.6,87.3,.453,11.3,32.5,.347,28.3,54.8,.516,15.4,20.0,.768,9.1,32.9,42.0,24.6,8.5,4.5,15.2,21.5,105.8
15,Memphis Grizzlies,51,12315,40.4,86.5,.468,12.8,34.9,.367,27.6,51.5,.536,17.0,21.8,.780,9.1,34.6,43.7,25.2,7.8,5.6,15.2,18.1,110.6
16,Miami Heat,53,12820,39.5,88.2,.447,14.8,41.0,.362,24.6,47.3,.521,15.9,20.2,.788,10.4,34.5,44.9,25.9,8.0,4.2,15.6,20.5,109.7
17,Milwaukee Bucks,53,12745,41.2,91.0,.453,14.3,38.3,.374,26.9,52.7,.511,13.9,17.5,.791,9.5,33.1,42.6,24.7,6.8,4.9,13.0,17.8,110.6
18,Minnesota Timberwolves,54,13060,42.2,87.4,.483,12.3,31.5,.390,30.0,55.9,.536,18.4,23.2,.793,9.9,35.4,45.3,26.0,7.3,5.7,14.9,18.9,115.2
19,New Orleans Pelicans,53,12795,42.0,88.6,.473,15.1,38.5,.392,26.8,50.1,.536,16.4,20.6,.798,8.8,31.9,40.7,26.4,7.6,5.8,13.2,21.3,115.5
20,New York Knicks,54,13010,39.0,88.3,.442,12.4,36.8,.338,26.5,51.5,.516,17.7,23.4,.756,9.7,35.6,45.3,23.8,7.1,5.9,13.2,19.0,108.1
21,Oklahoma City Thunder,53,12795,42.7,91.0,.469,12.9,36.4,.354,29.8,54.6,.546,14.6,19.0,.766,10.0,36.8,46.8,24.9,8.6,4.8,12.6,18.1,112.9
22,Orlando Magic,53,12770,42.1,89.8,.469,14.0,37.8,.372,28.0,52.0,.539,15.0,19.0,.786,9.3,37.9,47.2,26.2,7.9,5.2,13.1,18.4,113.2
23,Philadelphia 76ers,53,12845,39.2,86.5,.452,11.7,32.3,.362,27.5,54.2,.507,17.1,22.5,.761,9.2,32.6,41.8,23.1,7.5,4.5,15.2,20.9,107.2
24,Phoenix Suns,52,12630,40.4,88.4,.457,11.7,33.5,.347,28.7,54.8,.523,17.1,22.3,.767,9.7,34.0,43.7,22.3,6.9,3.7,13.5,18.5,109.5
25,Portland Trail Blazers,53,12745,42.7,89.1,.479,13.1,35.2,.372,29.6,53.9,.549,18.3,23.7,.775,10.1,36.3,46.4,25.4,6.3,4.6,12.9,19.2,116.8
26,Sacramento Kings,53,12745,43.9,90.1,.488,12.6,32.3,.391,31.3,57.8,.542,18.0,22.5,.801,10.5,34.4,44.9,25.3,7.6,4.4,12.8,19.4,118.5
27,San Antonio Spurs,51,12365,42.1,89.5,.470,12.7,33.5,.378,29.4,56.0,.525,15.3,20.0,.767,9.9,37.6,47.4,24.9,6.2,5.3,13.5,18.6,112.2
28,Toronto Raptors,54,12960,38.9,85.1,.457,13.9,37.2,.375,25.0,47.9,.522,20.3,25.4,.797,10.3,36.1,46.4,26.3,6.8,5.8,16.6,20.2,112.1
29,Utah Jazz,53,12770,41.3,92.6,.446,10.9,31.8,.342,30.5,60.8,.501,14.9,19.3,.772,10.1,33.3,43.5,22.4,7.4,4.0,11.5,19.5,108.5
30,Washington Wizards,52,12505,41.5,87.7,.473,12.4,32.7,.379,29.1,55.0,.529,18.7,24.1,.776,9.7,35.1,44.8,23.4,8.0,4.6,13.8,21.2,114.0
