Rk,Team,Age,W,L,MOV,Pace,FTr,3PAr,FT/FGA
1,Atlanta Hawks,25.2,29,25,2.06,97.4,.280,.390,.197
2,Boston Celtics,25.3,28,26,2.00,97.8,.238,.399,.215
3,Brooklyn Nets,28.2,36,17,4.28,99.5,.256,.413,.186
4,Charlotte Hornets,24.7,27,25,-0.79,99.1,.243,.420,.161
5,Chicago Bulls,25.3,22,30,-1.00,100.2,.208,.377,.202
6,Cleveland Cavaliers,24.0,19,34,-7.43,97.6,.258,.330,.190
7,Dallas Mavericks,26.3,29,23,2.06,97.4,.241,.438,.190
8,Denver Nuggets,25.9,34,19,5.08,96.7,.213,.380,.196
9,Detroit Pistons,25.2,16,38,-3.74,97.6,.275,.393,.197
10,Golden State Warriors,26.6,25,28,-1.77,102.5,.243,.421,.229
11,Houston Rockets,27.3,14,39,-6.51,101.0,.255,.455,.206
12,Indiana Pacers,26.7,25,27,-0.21,100.3,.228,.380,.201
13,Los Angeles Clippers,28.9,37,18,6.84,96.9,.223,.397,.189
14,Los Angeles Lakers,28.6,33,20,4.45,99.0,.274,.360,.176
15,Memphis Grizzlies,24.4,26,25,1.16,100.6,.225,.331,.196
16,Miami Heat,27.1,28,25,-0.58,96.9,.259,.432,.181
17,Milwaukee Bucks,27.9,33,20,6.13,101.8,.226,.405,.152
18,Minnesota Timberwolves,23.2,14,40,-7.26,101.4,.243,.399,.211
19,New Orleans Pelicans,24.9,24,29,-0.36,99.0,.290,.353,.185
20,New York Knicks,25.3,27,27,0.96,96.2,.250,.341,.201
21,Oklahoma City Thunder,23.3,20,33,-8.45,100.3,.238,.415,.160
22,Orlando Magic,26.4,17,36,-7.68,98.5,.223,.365,.167
23,Philadelphia 76ers,27.0,36,17,5.13,100.3,.302,.342,.198
24,Phoenix Suns,26.7,37,15,6.94,97.3,.213,.390,.194
25,Portland Trail Blazers,27.3,31,22,-0.19,98.2,.236,.465,.206
26,Sacramento Kings,25.7,22,31,-4.38,100.0,.254,.375,.200
27,San Antonio Spurs,26.4,25,26,-1.63,99.0,.240,.322,.171
28,Toronto Raptors,27.0,21,33,0.43,99.6,.246,.455,.238
29,Utah Jazz,28.5,40,13,9.72,98.6,.251,.487,.161
30,Washington Wizards,26.3,19,33,-5.38,103.9,.288,.342,.213
