Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Atlanta Hawks,54,13060,41.2,88.8,.464,12.9,34.6,.372,28.3,54.2,.523,20.2,24.9,.813,10.9,35.3,46.2,24.8,7.0,4.9,13.7,20.0,115.5
2,Boston Celtics,54,13035,42.2,89.9,.469,13.4,35.9,.374,28.7,54.0,.532,16.5,21.4,.771,11.0,33.9,44.8,23.6,8.0,5.4,14.3,20.9,114.2
3,Brooklyn Nets,53,12845,43.1,87.3,.493,14.1,36.1,.390,29.0,51.2,.567,17.9,22.3,.802,9.0,35.1,44.0,26.6,6.6,5.2,13.7,19.0,118.1
4,Charlotte Hornets,52,12530,40.4,88.1,.458,14.0,37.0,.379,26.4,51.1,.516,16.6,21.4,.776,10.5,33.8,44.3,27.0,8.1,4.8,15.5,18.1,111.4
5,Chicago Bulls,52,12580,42.3,88.1,.481,12.3,33.2,.371,30.0,54.9,.547,14.7,18.3,.802,9.5,34.9,44.4,26.4,6.6,4.3,15.5,19.1,111.7
6,Cleveland Cavaliers,53,12845,39.6,87.6,.452,9.7,28.9,.337,29.8,58.7,.508,16.6,22.6,.737,10.7,32.6,43.2,24.1,8.3,5.0,15.6,19.1,105.5
7,Dallas Mavericks,52,12505,41.8,89.3,.468,14.1,39.1,.361,27.7,50.2,.552,16.8,21.5,.778,8.9,35.8,44.7,23.0,6.2,4.6,12.4,19.9,114.4
8,Denver Nuggets,53,12870,44.4,91.1,.488,13.4,34.6,.386,31.1,56.5,.550,15.3,19.4,.788,10.9,34.6,45.5,27.7,8.2,4.5,13.7,19.3,117.6
9,Detroit Pistons,54,13110,39.2,87.2,.450,12.2,34.2,.358,27.0,53.0,.509,18.5,23.9,.774,10.0,32.8,42.8,25.0,7.9,5.1,14.8,20.8,109.2
10,Golden State Warriors,53,12745,39.8,86.2,.462,13.3,36.3,.367,26.5,49.9,.532,16.3,20.9,.776,7.8,33.7,41.5,26.6,8.0,4.7,14.5,21.0,109.3
11,Houston Rockets,53,12745,38.4,87.1,.440,13.3,39.6,.336,25.0,47.5,.528,16.4,22.2,.739,9.0,32.8,41.8,22.7,7.4,5.3,14.3,19.6,106.5
12,Indiana Pacers,52,12630,41.8,88.5,.473,12.2,33.6,.363,29.6,54.9,.540,15.9,20.2,.787,8.8,32.6,41.4,26.5,8.4,6.3,13.7,20.0,111.8
13,Los Angeles Clippers,55,13200,43.5,89.6,.486,15.0,35.5,.421,28.6,54.0,.529,16.7,19.9,.839,9.8,35.7,45.5,25.2,7.4,4.4,13.3,20.0,118.8
14,Los Angeles Lakers,53,12845,40.9,85.8,.476,11.0,30.9,.357,29.9,55.0,.543,17.5,23.5,.742,9.7,35.5,45.2,24.6,7.7,5.5,15.7,19.2,110.3
15,Memphis Grizzlies,51,12315,42.5,91.2,.466,10.8,30.2,.358,31.7,61.0,.520,15.9,20.5,.775,11.3,34.5,45.8,26.6,9.4,4.4,13.2,18.4,111.8
16,Miami Heat,53,12820,39.4,85.5,.461,12.8,36.9,.348,26.6,48.5,.548,17.4,22.1,.786,8.1,35.0,43.1,26.6,7.7,4.3,15.0,19.5,109.1
17,Milwaukee Bucks,53,12745,43.5,89.6,.485,14.3,36.3,.393,29.2,53.3,.548,15.4,20.3,.758,10.2,37.0,47.2,25.0,8.0,4.6,13.8,16.8,116.6
18,Minnesota Timberwolves,54,13060,39.4,89.0,.443,12.4,35.6,.349,27.0,53.5,.505,16.8,21.6,.779,10.0,31.8,41.9,24.5,8.5,5.4,13.9,20.5,108.1
19,New Orleans Pelicans,53,12795,42.6,88.5,.481,11.0,31.3,.353,31.6,57.3,.551,18.8,25.6,.733,11.7,35.0,46.8,26.2,7.4,4.4,14.4,17.8,115.1
20,New York Knicks,54,13010,40.2,89.3,.450,11.5,30.5,.378,28.7,58.8,.487,17.2,22.3,.771,10.5,36.7,47.2,21.8,7.4,5.1,13.9,21.5,109.1
21,Oklahoma City Thunder,53,12795,38.5,86.3,.446,12.5,35.9,.348,26.0,50.5,.515,15.1,20.5,.733,8.8,35.8,44.6,22.3,6.7,4.5,15.4,17.6,104.5
22,Orlando Magic,53,12770,39.0,90.8,.430,11.5,33.2,.348,27.5,57.7,.477,15.9,20.3,.782,10.6,35.8,46.4,22.7,7.0,4.3,13.2,17.1,105.4
23,Philadelphia 76ers,53,12845,40.8,85.7,.476,10.7,29.3,.367,30.1,56.5,.533,19.8,25.9,.767,10.0,35.4,45.5,22.9,8.8,6.2,14.9,20.2,112.2
24,Phoenix Suns,52,12630,43.8,89.3,.490,13.1,34.8,.377,30.7,54.5,.563,15.9,19.1,.833,8.6,35.6,44.2,27.6,7.0,4.3,13.1,19.8,116.5
25,Portland Trail Blazers,53,12745,41.1,92.2,.446,16.3,42.9,.380,24.9,49.3,.504,18.0,21.8,.829,10.9,33.7,44.6,20.6,7.1,5.3,11.6,19.6,116.6
26,Sacramento Kings,53,12745,42.8,88.8,.481,11.9,33.3,.359,30.8,55.5,.555,16.7,22.6,.738,9.8,32.3,42.1,25.6,6.7,4.9,13.3,19.6,114.1
27,San Antonio Spurs,51,12365,41.6,90.4,.460,10.3,29.1,.355,31.3,61.3,.510,17.0,21.7,.784,9.2,34.6,43.8,24.4,7.2,5.1,11.5,17.8,110.5
28,Toronto Raptors,54,12960,39.8,88.7,.449,14.9,40.3,.370,24.9,48.4,.515,18.0,21.8,.825,9.3,32.1,41.4,24.5,8.6,5.7,13.4,22.0,112.5
