Team,Age,W,L,MOV,Pace
Atlanta Hawks,25.2,29,25,2.06,97.4
Boston Celtics,25.3,28,26,2,97.8
Brooklyn Nets,28.2,36,17,4.28,99.5
Charlotte Hornets,24.7,27,25,-0.79,99.1
Chicago Bulls,25.3,22,30,-1,100.2
Cleveland Cavaliers,24,19,34,-7.43,97.6
Dallas Mavericks,26.3,29,23,2.06,97.4
Denver Nuggets,25.9,34,19,5.08,96.7
Detroit Pistons,25.2,16,38,-3.74,97.6
Golden State Warriors,26.6,25,28,-1.77,102.5
Houston Rockets,27.3,14,39,-6.51,101
Indiana Pacers,26.7,25,27,-0.21,100.3
Los Angeles Clippers,28.9,37,18,6.84,96.9
Los Angeles Lakers,28.6,33,20,4.45,99
Memphis Grizzlies,24.4,26,25,1.16,100.6
Miami Heat,27.1,28,25,-0.58,96.9
Milwaukee Bucks,27.9,33,20,6.13,101.8
Minnesota Timberwolves,23.2,14,40,-7.26,101.4
New Orleans Pelicans,24.9,24,29,-0.36,99
New York Knicks,25.3,27,27,0.96,96.2
Oklahoma City Thunder,23.3,20,33,-8.45,100.3
Orlando Magic,26.4,17,36,-7.68,98.5
Philadelphia 76ers,27,36,17,5.13,100.3
Phoenix Suns,26.7,37,15,6.94,97.3
Portland Trail Blazers,27.3,31,22,-0.19,98.2
Sacramento Kings,25.7,22,31,-4.38,100
San Antonio Spurs,26.4,25,26,-1.63,99
Toronto Raptors,27,21,33,0.43,99.6
Utah Jazz,28.5,40,13,9.72,98.6
Washington Wizards,26.3,19,33,-5.38,103.9
