Team,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Atlanta Hawks,41.2,88.8,12.9,34.6,28.3,54.2,20.2,24.9,10.9,35.3,46.2,24.8,7,4.9,13.7,20,115.5
Boston Celtics,42.2,89.9,13.4,35.9,28.7,54,16.5,21.4,11,33.9,44.8,23.6,8,5.4,14.3,20.9,114.2
Brooklyn Nets,43.1,87.3,14.1,36.1,29,51.2,17.9,22.3,9,35.1,44,26.6,6.6,5.2,13.7,19,118.1
Charlotte Hornets,40.4,88.1,14,37,26.4,51.1,16.6,21.4,10.5,33.8,44.3,27,8.1,4.8,15.5,18.1,111.4
Chicago Bulls,42.3,88.1,12.3,33.2,30,54.9,14.7,18.3,9.5,34.9,44.4,26.4,6.6,4.3,15.5,19.1,111.7
Cleveland Cavaliers,39.6,87.6,9.7,28.9,29.8,58.7,16.6,22.6,10.7,32.6,43.2,24.1,8.3,5,15.6,19.1,105.5
Dallas Mavericks,41.8,89.3,14.1,39.1,27.7,50.2,16.8,21.5,8.9,35.8,44.7,23,6.2,4.6,12.4,19.9,114.4
Denver Nuggets,44.4,91.1,13.4,34.6,31.1,56.5,15.3,19.4,10.9,34.6,45.5,27.7,8.2,4.5,13.7,19.3,117.6
Detroit Pistons,39.2,87.2,12.2,34.2,27,53,18.5,23.9,10,32.8,42.8,25,7.9,5.1,14.8,20.8,109.2
Golden State Warriors,39.8,86.2,13.3,36.3,26.5,49.9,16.3,20.9,7.8,33.7,41.5,26.6,8,4.7,14.5,21,109.3
Houston Rockets,38.4,87.1,13.3,39.6,25,47.5,16.4,22.2,9,32.8,41.8,22.7,7.4,5.3,14.3,19.6,106.5
Indiana Pacers,41.8,88.5,12.2,33.6,29.6,54.9,15.9,20.2,8.8,32.6,41.4,26.5,8.4,6.3,13.7,20,111.8
Los Angeles Clippers,43.5,89.6,15,35.5,28.6,54,16.7,19.9,9.8,35.7,45.5,25.2,7.4,4.4,13.3,20,118.8
Los Angeles Lakers,40.9,85.8,11,30.9,29.9,55,17.5,23.5,9.7,35.5,45.2,24.6,7.7,5.5,15.7,19.2,110.3
Memphis Grizzlies,42.5,91.2,10.8,30.2,31.7,61,15.9,20.5,11.3,34.5,45.8,26.6,9.4,4.4,13.2,18.4,111.8
Miami Heat,39.4,85.5,12.8,36.9,26.6,48.5,17.4,22.1,8.1,35,43.1,26.6,7.7,4.3,15,19.5,109.1
Milwaukee Bucks,43.5,89.6,14.3,36.3,29.2,53.3,15.4,20.3,10.2,37,47.2,25,8,4.6,13.8,16.8,116.6
Minnesota Timberwolves,39.4,89,12.4,35.6,27,53.5,16.8,21.6,10,31.8,41.9,24.5,8.5,5.4,13.9,20.5,108.1
New Orleans Pelicans,42.6,88.5,11,31.3,31.6,57.3,18.8,25.6,11.7,35,46.8,26.2,7.4,4.4,14.4,17.8,115.1
New York Knicks,40.2,89.3,11.5,30.5,28.7,58.8,17.2,22.3,10.5,36.7,47.2,21.8,7.4,5.1,13.9,21.5,109.1
Oklahoma City Thunder,38.5,86.3,12.5,35.9,26,50.5,15.1,20.5,8.8,35.8,44.6,22.3,6.7,4.5,15.4,17.6,104.5
Orlando Magic,39,90.8,11.5,33.2,27.5,57.7,15.9,20.3,10.6,35.8,46.4,22.7,7,4.3,13.2,17.1,105.4
Philadelphia 76ers,40.8,85.7,10.7,29.3,30.1,56.5,19.8,25.9,10,35.4,45.5,22.9,8.8,6.2,14.9,20.2,112.2
Phoenix Suns,43.8,89.3,13.1,34.8,30.7,54.5,15.9,19.1,8.6,35.6,44.2,27.6,7,4.3,13.1,19.8,116.5
Portland Trail Blazers,41.1,92.2,16.3,42.9,24.9,49.3,18,21.8,10.9,33.7,44.6,20.6,7.1,5.3,11.6,19.6,116.6
Sacramento Kings,42.8,88.8,11.9,33.3,30.8,55.5,16.7,22.6,9.8,32.3,42.1,25.6,6.7,4.9,13.3,19.6,114.1
San Antonio Spurs,41.6,90.4,10.3,29.1,31.3,61.3,17,21.7,9.2,34.6,43.8,24.4,7.2,5.1,11.5,17.8,110.5
Toronto Raptors,39.8,88.7,14.9,40.3,24.9,48.4,18,21.8,9.3,32.1,41.4,24.5,8.6,5.7,13.4,22,112.5
Utah Jazz,41.7,89.4,17,43.6,24.8,45.9,17.8,22.5,11,37.9,48.9,23.7,6.6,5.5,13.9,19,118.3
Washington Wizards,40,85.8,10.1,29.3,29.8,56.5,18.8,24.7,8.8,33.6,42.5,23.9,6.8,3.5,14.1,20.9,108.9
