team,res,pts,fgm,fga,fg%,3pm,3pa,3p%,ftm,fta,ft%,oreb,dreb,reb,ast,stl,blk,tov,pf
BKN,L,114,41,96,42.7,17,42,40.5,15,17,88.2,14,39,53,18,5,1,16,11
MIL,W,117,48,98,49,15,37,40.5,6,12,50,8,37,45,19,9,11,10,18
ORL,W,112,38,85,44.7,11,25,44,25,28,89.3,6,31,37,20,10,5,10,17
WAS,L,124,47,91,51.6,6,19,31.6,24,31,77.4,14,32,46,19,5,3,10,23
LAC,L,104,36,83,43.4,14,34,41.2,18,24,75,10,29,39,21,8,3,6,19
MIA,W,124,47,87,54,18,36,50,12,15,80,10,27,37,30,12,1,8,16
DET,L,94,35,91,38.5,13,37,35.1,11,17,64.7,12,31,43,27,6,7,10,16
DEN,W,110,39,80,48.8,12,32,37.5,20,21,95.2,8,36,44,26,2,4,10,23
GSW,W,113,39,84,46.4,18,46,39.1,17,24,70.8,4,46,50,32,10,8,17,18
UTA,W,106,37,78,47.4,17,41,41.5,15,18,83.3,9,40,49,20,3,3,20,15
IND,W,152,57,87,65.5,21,33,63.6,17,22,77.3,3,50,53,41,7,11,17,22
ATL,W,108,37,74,50,14,36,38.9,20,26,76.9,6,38,44,19,11,5,14,21
NOP,W,140,47,92,51.1,14,36,38.9,32,46,69.6,14,38,52,34,8,5,21,20
MEM,L,111,44,96,45.8,10,29,34.5,13,21,61.9,17,38,55,21,6,10,16,20
CHI,L,97,40,85,47.1,6,24,25,11,17,64.7,8,31,39,22,11,0,13,22
CLE,L,107,37,74,50,20,40,50,13,17,76.5,9,30,39,30,3,4,18,17
HOU,L,87,32,89,36,9,42,21.4,14,22,63.6,10,39,49,20,9,3,18,18
MIN,L,136,48,106,45.3,15,48,31.3,25,32,78.1,13,38,51,35,17,5,16,30
DAL,W,125,47,87,54,17,38,44.7,14,22,63.6,7,29,36,31,6,4,11,25
CHA,W,107,42,87,48.3,14,37,37.8,9,20,45,14,40,54,24,8,15,13,16
TOR,L,102,42,94,44.7,12,33,36.4,6,9,66.7,11,28,39,26,12,3,10,15
OKC,L,95,38,111,34.2,8,38,21.1,11,23,47.8,21,27,48,23,8,4,14,15
BKN,L,109,40,95,42.1,13,41,31.7,16,19,84.2,11,31,42,20,6,3,8,18
MEM,W,92,34,99,34.3,11,39,28.2,13,16,81.3,15,42,57,25,10,8,8,15
WAS,W,122,46,92,50,8,18,44.4,22,26,84.6,11,35,46,31,14,3,12,19
ATL,L,104,36,82,43.9,10,28,35.7,22,28,78.6,12,34,46,19,3,8,16,23
LAL,L,106,42,83,50.6,7,28,25,15,21,71.4,11,32,43,24,9,12,21,17
SAC,W,110,39,86,45.3,12,33,36.4,20,22,90.9,11,26,37,29,10,3,17,16
POR,W,128,47,91,51.6,16,36,44.4,18,20,90,8,42,50,24,3,2,10,17
PHI,W,126,47,101,46.5,10,28,35.7,22,26,84.6,18,32,50,27,8,6,8,21
ORL,L,75,27,86,31.4,6,26,23.1,15,20,75,12,44,56,16,4,6,20,19
CHI,L,98,37,96,38.5,10,33,30.3,14,21,66.7,14,36,50,23,5,5,10,18
MIL,W,108,42,90,46.7,9,25,36,15,20,75,8,43,51,24,5,5,10,19
BOS,W,143,49,105,46.7,18,38,47.4,27,36,75,17,35,52,31,7,7,13,26
UTA,L,100,35,80,43.8,14,39,35.9,16,18,88.9,8,28,36,22,8,5,13,17
CLE,L,93,34,82,41.5,7,33,21.2,18,28,64.3,14,32,46,19,6,4,24,17
SAS,L,140,49,92,53.3,11,24,45.8,31,38,81.6,8,35,43,29,6,1,11,27
PHX,W,121,48,88,54.5,11,33,33.3,14,19,73.7,8,36,44,27,7,7,11,14
MIL,L,136,49,93,52.7,16,39,41,22,25,88,8,30,38,27,12,5,14,21
HOU,W,143,49,98,50,25,46,54.3,20,24,83.3,16,36,52,23,6,6,18,23
BKN,W,130,47,89,52.8,12,35,34.3,24,28,85.7,8,42,50,35,3,5,13,19
MIN,W,126,43,94,45.7,20,41,48.8,20,29,69,16,41,57,31,5,2,13,21
NOP,W,109,45,101,44.6,5,29,17.2,14,19,73.7,15,41,56,26,11,6,12,22
DET,L,105,36,71,50.7,10,29,34.5,23,34,67.6,3,36,39,26,7,5,18,23
IND,L,113,41,96,42.7,11,39,28.2,20,21,95.2,7,31,38,23,8,6,10,23
OKC,L,95,34,89,38.2,11,39,28.2,16,20,80,12,41,53,18,6,4,22,21
TOR,L,111,40,83,48.2,16,32,50,15,18,83.3,7,29,36,27,10,6,15,19
DEN,W,121,44,93,47.3,12,35,34.3,21,26,80.8,14,33,47,22,6,7,11,16
GSW,L,114,42,85,49.4,15,38,39.5,15,21,71.4,4,30,34,28,10,7,10,21
DAL,W,115,40,89,44.9,13,30,43.3,22,23,95.7,8,27,35,22,6,2,11,20
NYK,W,113,42,91,46.2,12,27,44.4,17,19,89.5,9,32,41,27,10,9,4,16
PHI,W,127,48,89,53.9,16,36,44.4,15,22,68.2,11,35,46,29,12,10,7,22
ATL,L,83,27,81,33.3,6,19,31.6,23,29,79.3,17,30,47,17,3,3,14,18
CHA,L,111,37,87,42.5,13,35,37.1,24,32,75,11,22,33,29,7,5,11,18
MIA,W,116,43,85,50.6,9,25,36,21,24,87.5,10,38,48,26,4,1,12,23
LAL,L,107,42,96,43.8,10,34,29.4,13,21,61.9,13,28,41,31,10,8,10,20
ORL,W,109,43,85,50.6,10,29,34.5,13,20,65,9,40,49,26,9,7,15,21
LAC,L,101,41,80,51.3,12,31,38.7,7,9,77.8,5,31,36,24,8,0,14,16
POR,W,130,45,92,48.9,15,40,37.5,25,28,89.3,11,40,51,23,7,6,10,20
SAC,L,105,42,87,48.3,7,21,33.3,14,17,82.4,3,21,24,24,8,6,12,19
WAS,W,116,47,90,52.2,6,18,33.3,16,21,76.2,10,40,50,24,6,4,13,20
BOS,W,120,44,92,47.8,15,40,37.5,17,22,77.3,19,35,54,26,9,8,14,24
NOP,L,112,43,87,49.4,12,30,40,14,19,73.7,6,36,42,27,13,5,21,24
UTA,W,154,55,86,64,24,41,58.5,20,21,95.2,8,39,47,36,4,9,13,15
CHI,L,94,39,85,45.9,10,29,34.5,6,10,60,7,36,43,29,2,4,14,12
MEM,L,109,37,88,42,9,32,28.1,26,30,86.7,8,36,44,26,7,6,11,21
DEN,W,114,43,85,50.6,10,32,31.3,18,23,78.3,3,35,38,26,14,8,18,17
PHX,W,109,43,91,47.3,13,37,35.1,10,13,76.9,15,30,45,23,9,4,10,11
CLE,L,104,37,92,40.2,12,44,27.3,18,24,75,13,32,45,30,12,3,11,15
SAS,L,111,41,88,46.6,10,32,31.3,19,24,79.2,7,33,40,26,6,3,9,20
IND,L,112,40,86,46.5,10,30,33.3,22,28,78.6,7,31,38,25,6,12,13,17
MIL,W,114,47,93,50.5,9,35,25.7,11,14,78.6,9,39,48,28,13,3,15,24
GSW,L,103,34,84,40.5,16,43,37.2,19,24,79.2,10,33,43,25,11,5,18,18
CHA,L,104,38,82,46.3,12,35,34.3,16,23,69.6,7,31,38,26,6,7,17,17
TOR,L,103,36,91,39.6,15,43,34.9,16,19,84.2,15,32,47,24,5,3,13,19
OKC,W,119,39,81,48.1,13,30,43.3,28,36,77.8,10,41,51,25,5,3,27,24
HOU,L,107,42,86,48.8,7,31,22.6,16,22,72.7,8,37,45,24,9,4,17,22
BKN,W,116,40,83,48.2,18,45,40,18,18,100,7,34,41,30,9,6,10,20
DAL,W,133,48,92,52.2,18,35,51.4,19,22,86.4,9,41,50,21,9,4,13,19
MIN,W,114,45,93,48.4,10,38,26.3,14,25,56,12,36,48,29,10,6,14,20
BOS,L,115,41,97,42.3,11,49,22.4,22,25,88,8,31,39,21,16,7,14,26
POR,W,133,50,106,47.2,20,35,57.1,13,16,81.3,20,37,57,26,6,5,13,19
UTA,L,104,37,95,38.9,16,57,28.1,14,19,73.7,16,33,49,24,9,6,11,18
NYK,L,110,45,87,51.7,12,29,41.4,8,10,80,6,29,35,24,6,1,10,19
OKC,L,90,35,78,44.9,7,30,23.3,13,23,56.5,11,27,38,21,11,1,29,16
ORL,L,103,36,76,47.4,11,25,44,20,24,83.3,4,24,28,16,5,3,11,18
