PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF
112.6,40.2,87,46.2,12.4,33.5,37,19.8,24.4,81.1,10.7,34.6,45.3,23.8,13.4,7,4.7,5.1,19.5
112.6,41.4,88.7,46.6,13.3,35.9,37.2,16.5,21.2,77.7,10.9,33.6,44.5,23.3,14.2,7.9,5.2,4.6,20.4
118.7,43.2,87.8,49.2,14.1,36.4,38.8,18.3,22.5,81,9.1,35.3,44.5,26.7,13.7,6.7,5.1,4.7,18.9
109.8,40,87.4,45.8,13.9,37,37.7,15.8,20.7,76.3,10.4,33.1,43.5,26.9,15.1,7.9,4.9,4.7,18
110.9,42.3,88.4,47.8,12.3,33.6,36.5,14.1,17.7,79.6,9.4,35.2,44.6,26.8,15.4,6.7,4.2,5,19
103.9,38.9,85.7,45.4,9.9,29.3,33.8,16.2,21.8,74.3,10.5,32,42.5,24.1,15.5,8,4.7,5.5,18.5
112,41,87.1,47,13.7,38,36.2,16.4,21.2,77.3,8.9,34.5,43.4,22.6,12,6.1,4.3,3.8,19.4
115.5,43.5,89.1,48.8,13,34.1,38,15.6,19.5,79.8,10.5,34,44.5,27,13.5,8,4.6,4.3,18.8
107.1,38.6,85.8,45,11.8,33.1,35.5,18.2,23.8,76.5,9.8,33.1,42.9,24.4,14.9,7.6,5.2,6,20.7
112.9,41,88.2,46.5,14.2,38,37.4,16.7,21.4,77.8,8,34.9,42.9,27.5,15,8.3,4.8,4.5,21.3
107.9,39,88.4,44.1,13.4,40,33.5,16.5,22.3,74,9.3,33.5,42.8,23,14.8,7.6,5.1,5.3,19.5
114.5,42.8,90.8,47.1,12.4,34.3,36.1,16.5,20.9,79,9,33.5,42.5,26.9,13.5,8.5,6.5,5.3,20.3
114.3,41.9,87,48.2,14.4,34.5,41.6,16.2,19.4,83.4,9.5,34.7,44.2,24.3,13,7.1,4.1,4.1,19.5
109.6,40.8,86,47.4,11.1,31.4,35.2,17,22.9,74.4,9.6,34.7,44.3,24.6,15.4,7.9,5.4,4.5,19.1
113.3,42.9,92.1,46.6,11,31,35.6,16.3,21,77.7,11.1,35.4,46.5,26.8,13.2,9.3,4.7,5.3,19
106.8,38.6,83.5,46.3,12.7,36.1,35,16.8,21.3,79.1,8,33.7,41.7,26.1,14.2,7.8,4,4.1,18.9
119.3,44.5,91.6,48.6,14.5,37.1,39.2,15.7,20.7,75.8,10.2,37.8,48,25.5,14,8.3,4.7,4.9,17.3
111.3,40.4,90.9,44.5,13,37.2,35,17.4,22.7,76.6,10.3,33,43.4,25.4,14.4,8.8,5.5,5.7,20.9
115.3,42.7,88.5,48.2,10.7,30.6,35.1,19.1,26.1,73.2,11.6,35.5,47.1,26.2,14.7,7.5,4.4,5.7,18.1
107,39.5,86.5,45.7,11.5,29.7,38.7,16.5,21.2,77.9,10.1,35.3,45.4,21.4,13.2,7.2,5,5.6,20.4
105.2,38.8,87.8,44.2,12.2,35.7,34.2,15.4,21.2,72.8,9.7,35.9,45.6,22.3,16.4,7,4.5,5.2,18.2
104,38.4,89.3,43,11.1,32,34.6,16.2,20.9,77.6,10.3,34.9,45.2,22,12.8,7.1,4.4,5.3,17
113.7,41.4,86.9,47.6,11.1,29.9,37.1,19.9,26,76.3,10.2,35.2,45.3,23.4,14.7,9.2,6.3,4.6,20.4
114.4,43.1,88.2,48.9,13,34.8,37.3,15.2,18.3,82.6,8.8,34.4,43.3,26.9,12.9,7.2,4.2,3.6,19.1
115.1,40.9,91.3,44.8,15.7,41.4,38,17.7,21.4,82.6,10.9,33.6,44.5,20.8,11.3,7,5.1,4.8,19.1
114.3,42.7,88.5,48.2,12,33,36.5,16.9,22.7,74.6,9.4,31.7,41.1,25.4,13.3,7.2,4.8,4.6,19.4
111.2,41.7,90.1,46.2,10.3,28.9,35.6,17.6,22.3,78.8,9.3,34.7,44,24.7,11.4,7.1,5.2,5.1,18.2
111.6,39.7,88.2,45,14.7,39.7,37.1,17.5,21.2,82.6,9.3,32.2,41.5,24.4,13.3,8.4,5.6,5.7,21.4
116.4,41.1,88.1,46.7,16.9,43.4,39.1,17.2,21.6,79.7,10.5,37.6,48.1,23.8,14.1,6.5,5.4,3.9,18.7
115.2,42.6,90,47.3,10.2,29.2,35,19.7,25.9,76.3,9.6,35.4,44.9,25,14.7,7.3,3.9,4.8,21.7
